Date,SettlementPoint,Price
2016-01,HB_BUSAVG,19.209301075268815
2016-01,HB_HOUSTON,19.565725806451614
2016-01,HB_HUBAVG,19.25869623655914
2016-01,HB_NORTH,19.133306451612903
2016-01,HB_SOUTH,19.21005376344086
2016-01,HB_WEST,19.126559139784945
2016-01,LZ_AEN,19.324663978494623
2016-01,LZ_CPS,19.353844086021507
2016-01,LZ_HOUSTON,19.56393817204301
2016-01,LZ_LCRA,19.317459677419354
2016-01,LZ_NORTH,19.187997311827957
2016-01,LZ_RAYBN,19.447943548387098
2016-01,LZ_SOUTH,19.481720430107526
2016-01,LZ_WEST,19.519260752688172
2016-02,HB_BUSAVG,15.288247126436783
2016-02,HB_HOUSTON,15.464540229885056
2016-02,HB_HUBAVG,15.269252873563218
2016-02,HB_NORTH,15.292658045977012
2016-02,HB_SOUTH,15.333591954022989
2016-02,HB_WEST,14.988663793103449
2016-02,LZ_AEN,15.448290229885059
2016-02,LZ_CPS,15.520014367816092
2016-02,LZ_HOUSTON,15.487988505747126
2016-02,LZ_LCRA,15.488548850574714
2016-02,LZ_NORTH,15.462212643678162
2016-02,LZ_RAYBN,15.400431034482759
2016-02,LZ_SOUTH,15.935862068965518
2016-02,LZ_WEST,15.04448275862069
2016-03,HB_BUSAVG,16.755625841184386
2016-03,HB_HOUSTON,17.124952893674294
2016-03,HB_HUBAVG,16.654347240915207
2016-03,HB_NORTH,16.859367429340512
2016-03,HB_SOUTH,16.763109017496635
2016-03,HB_WEST,15.871668909825033
2016-03,LZ_AEN,16.85507402422611
2016-03,LZ_CPS,16.898183041722746
2016-03,LZ_HOUSTON,17.206729475100943
2016-03,LZ_LCRA,16.796298788694482
2016-03,LZ_NORTH,17.461507402422612
2016-03,LZ_RAYBN,17.117240915208615
2016-03,LZ_SOUTH,19.52114401076716
2016-03,LZ_WEST,16.00265141318977
2016-04,HB_BUSAVG,18.289347222222222
2016-04,HB_HOUSTON,18.940958333333334
2016-04,HB_HUBAVG,18.16686111111111
2016-04,HB_NORTH,18.350666666666665
2016-04,HB_SOUTH,18.51290277777778
2016-04,HB_WEST,16.862750000000002
2016-04,LZ_AEN,18.256069444444446
2016-04,LZ_CPS,19.06936111111111
2016-04,LZ_HOUSTON,19.128930555555556
2016-04,LZ_LCRA,18.392708333333335
2016-04,LZ_NORTH,19.08763888888889
2016-04,LZ_RAYBN,18.85536111111111
2016-04,LZ_SOUTH,20.738
2016-04,LZ_WEST,17.153666666666666
2016-05,HB_BUSAVG,18.159583333333334
2016-05,HB_HOUSTON,19.174086021505378
2016-05,HB_HUBAVG,18.247002688172042
2016-05,HB_NORTH,17.905631720430108
2016-05,HB_SOUTH,18.57045698924731
2016-05,HB_WEST,17.337674731182794
2016-05,LZ_AEN,18.124905913978495
2016-05,LZ_CPS,18.47986559139785
2016-05,LZ_HOUSTON,19.90399193548387
2016-05,LZ_LCRA,18.182782258064517
2016-05,LZ_NORTH,18.182889784946237
2016-05,LZ_RAYBN,18.320994623655913
2016-05,LZ_SOUTH,20.691747311827957
2016-05,LZ_WEST,17.73752688172043
2016-06,HB_BUSAVG,23.909819444444445
2016-06,HB_HOUSTON,26.255736111111112
2016-06,HB_HUBAVG,24.297847222222224
2016-06,HB_NORTH,23.158055555555556
2016-06,HB_SOUTH,24.645375
2016-06,HB_WEST,23.141930555555554
2016-06,LZ_AEN,24.237513888888888
2016-06,LZ_CPS,24.958069444444448
2016-06,LZ_HOUSTON,29.915083333333335
2016-06,LZ_LCRA,24.164416666666668
2016-06,LZ_NORTH,23.562680555555556
2016-06,LZ_RAYBN,23.315944444444444
2016-06,LZ_SOUTH,27.471652777777777
2016-06,LZ_WEST,23.48876388888889
2016-07,HB_BUSAVG,27.18747311827957
2016-07,HB_HOUSTON,29.538924731182796
2016-07,HB_HUBAVG,27.459206989247313
2016-07,HB_NORTH,26.800793010752688
2016-07,HB_SOUTH,26.960255376344087
2016-07,HB_WEST,26.54356182795699
2016-07,LZ_AEN,27.976102150537635
2016-07,LZ_CPS,27.967956989247313
2016-07,LZ_HOUSTON,29.911868279569894
2016-07,LZ_LCRA,27.592217741935485
2016-07,LZ_NORTH,27.41577956989247
2016-07,LZ_RAYBN,27.471075268817202
2016-07,LZ_SOUTH,28.88958333333333
2016-07,LZ_WEST,27.178790322580646
2016-08,HB_BUSAVG,30.567137096774193
2016-08,HB_HOUSTON,32.97254032258064
2016-08,HB_HUBAVG,30.948534946236556
2016-08,HB_NORTH,29.828387096774193
2016-08,HB_SOUTH,31.207970430107526
2016-08,HB_WEST,29.78673387096774
2016-08,LZ_AEN,30.699516129032258
2016-08,LZ_CPS,31.306572580645163
2016-08,LZ_HOUSTON,33.56354838709677
2016-08,LZ_LCRA,31.175577956989247
2016-08,LZ_NORTH,30.148575268817204
2016-08,LZ_RAYBN,30.149758064516128
2016-08,LZ_SOUTH,31.823306451612904
2016-08,LZ_WEST,30.010564516129033
2016-09,HB_BUSAVG,26.861749999999997
2016-09,HB_HOUSTON,28.742416666666667
2016-09,HB_HUBAVG,27.188138888888886
2016-09,HB_NORTH,26.249180555555554
2016-09,HB_SOUTH,27.405569444444442
2016-09,HB_WEST,26.35425
2016-09,LZ_AEN,26.71086111111111
2016-09,LZ_CPS,28.130249999999997
2016-09,LZ_HOUSTON,29.032680555555554
2016-09,LZ_LCRA,27.03994444444444
2016-09,LZ_NORTH,26.605861111111114
2016-09,LZ_RAYBN,26.47026388888889
2016-09,LZ_SOUTH,28.76201388888889
2016-09,LZ_WEST,26.767666666666667
